FRAME_INDEX, TIME_STAMP(hh:mm:ss:ms), TIME_STAMP(tick), FRAME_INTERVAL(ms), STIM_DELAY, STIM_INDEX, BACKGROUND_STIM, STIM_LOC_X, STIM_LOC_Y, TRACKING_STATUS
0, 21:51:57:136.421,78717136.421,39.531,0,0,1,no,-5,-1,ON
1, 21:51:57:175.911,78717175.911,39.490,0,0,2,no,-7,-1,ON
2, 21:51:57:215.489,78717215.489,39.578,0,0,3,no,-7,-1,ON
3, 21:51:57:254.932,78717254.932,39.443,0,0,4,no,-7,-1,ON
4, 21:51:57:294.321,78717294.321,39.389,0,0,5,no,-7,-1,ON
5, 21:51:57:334.276,78717334.276,39.955,0,0,6,no,-6,0,ON
6, 21:51:57:373.421,78717373.421,39.145,0,0,7,no,-3,1,ON
7, 21:51:57:412.939,78717412.939,39.518,0,0,8,no,-3,1,ON
8, 21:51:57:452.501,78717452.501,39.561,0,0,9,no,-3,0,ON
9, 21:51:57:492.047,78717492.047,39.546,0,0,10,no,-5,-1,ON
10, 21:51:57:531.357,78717531.357,39.311,0,0,11,no,-6,-1,ON
11, 21:51:57:571.174,78717571.174,39.816,0,0,12,no,-6,-1,ON
12, 21:51:57:610.443,78717610.443,39.269,0,0,13,no,-6,-1,ON
13, 21:51:57:650.204,78717650.204,39.761,0,0,14,no,-7,-1,ON
14, 21:51:57:689.423,78717689.423,39.219,0,0,15,no,-7,-1,ON
15, 21:51:57:728.790,78717728.790,39.367,0,0,16,no,-7,-1,ON
16, 21:51:57:768.405,78717768.405,39.614,0,0,17,no,-6,0,ON
17, 21:51:57:807.864,78717807.864,39.459,0,0,18,no,-4,1,ON
18, 21:51:57:847.397,78717847.397,39.533,0,0,19,no,-3,1,ON
19, 21:51:57:886.753,78717886.753,39.356,0,0,20,no,-4,0,ON
20, 21:51:57:926.262,78717926.262,39.508,0,0,21,no,-5,-1,ON
21, 21:51:57:965.875,78717965.875,39.614,0,0,22,no,-6,-2,ON
22, 21:51:58:5.276,78718005.276,39.401,0,0,23,no,-6,-2,ON
23, 21:51:58:44.710,78718044.710,39.434,0,0,24,no,-7,-1,ON
24, 21:51:58:84.329,78718084.329,39.619,0,0,25,no,-7,-2,ON
25, 21:51:58:123.692,78718123.692,39.363,0,0,26,no,-7,-1,ON
26, 21:51:58:163.136,78718163.136,39.444,0,0,27,no,-7,-1,ON
27, 21:51:58:202.805,78718202.805,39.669,0,0,28,no,-6,-1,ON
28, 21:51:58:242.256,78718242.256,39.451,0,0,29,no,-5,1,ON
29, 21:51:58:281.868,78718281.868,39.613,0,0,30,no,-4,1,ON
30, 21:51:58:321.168,78718321.168,39.300,0,0,31,no,-4,0,ON
31, 21:51:58:360.763,78718360.763,39.595,0,0,32,no,-5,0,ON
32, 21:51:58:400.457,78718400.457,39.694,0,0,33,no,-7,-1,ON
33, 21:51:58:439.779,78718439.779,39.322,0,0,34,no,-7,-1,ON
34, 21:51:58:479.199,78718479.199,39.420,0,0,35,no,-7,0,ON
35, 21:51:58:518.760,78718518.760,39.561,0,0,36,no,-8,0,ON
36, 21:51:58:558.299,78718558.299,39.539,0,0,37,no,-9,1,ON
37, 21:51:58:598.042,78718598.042,39.743,0,0,38,no,-9,2,ON
38, 21:51:58:637.487,78718637.487,39.444,0,0,39,no,-9,3,ON
39, 21:51:58:676.905,78718676.905,39.418,0,0,40,no,-7,5,ON
40, 21:51:58:716.350,78718716.350,39.446,0,0,41,no,-5,7,ON
41, 21:51:58:755.894,78718755.894,39.544,0,0,42,no,-6,7,ON
42, 21:51:58:795.298,78718795.298,39.404,0,0,43,no,-7,7,ON
